# 30D GMM three-ckpt slope comparison

integrand  method        1x       2x       5x
------------------------------------------------------------
first      MC        -0.383   -0.390   -0.419
first      QMC       -0.223   -0.230   -0.257
first      ISMC      -0.502   -0.495   -0.501
first      ISQMC     -0.578   -0.590   -0.563

second     MC        -0.397   -0.423   -0.450
second     QMC       -0.362   -0.383   -0.422
second     ISMC      -0.492   -0.505   -0.512
second     ISQMC     -0.627   -0.643   -0.647

complex    MC        -0.414   -0.512   -0.487
complex    QMC       -0.306   -0.681   -0.469
complex    ISMC      -0.515   -0.515   -0.511
complex    ISQMC     -0.539   -0.580   -0.604

